council,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)",Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%),
Melbourne City Council,2021,"153,110","4,078.0","76,645","76,465",30.9,30.1,30.5,"131,754",86.1,"2,301","1,665","1,349","3,104","12,327","15,111","12,414","7,824","4,695","3,286","2,776","2,454","2,157","1,662","1,510",972,607,431,3.0,2.2,1.8,4.0,16.1,19.7,16.2,10.2,6.1,4.3,3.6,3.2,2.8,2.2,2.0,1.3,0.8,0.6,"2,187","1,588","1,347","3,813","13,736","15,369","11,399","6,829","3,992","3,101","2,712","2,501","2,154","1,801","1,581",962,662,731,2.9,2.1,1.8,5.0,18.0,20.1,14.9,8.9,5.2,4.1,3.5,3.3,2.8,2.4,2.1,1.3,0.9,1.0,"4,488","3,253","2,696","6,917","26,063","30,480","23,813","14,653","8,687","6,387","5,488","4,955","4,311","3,463","3,091","1,934","1,269","1,162",2.9,2.1,1.8,4.5,17.0,19.9,15.6,9.6,5.7,4.2,3.6,3.2,2.8,2.3,2.0,1.3,0.8,0.8,"1,255",0.66,460,5.5,"17,465","18,382",-917,"3,588","17,167","-13,579",772,0.5,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,"81,818",54.7,6.3,23.8,6.1,3.9,0.4,0.8,49.3,9.4,"79,702","59,219","10,697",53.3,39.6,7.1,"68,881",46.0,269,"1,087",0.2,0.8,
Melton City Council,2021,"181,346",343.8,"90,875","90,471",32.9,33.4,33.2,"120,795",66.6,"7,580","7,944","7,061","5,956","6,073","6,412","7,920","8,397","7,133","6,425","4,992","4,067","3,312","2,843","2,225","1,374",737,424,8.3,8.7,7.8,6.6,6.7,7.1,8.7,9.2,7.8,7.1,5.5,4.5,3.6,3.1,2.4,1.5,0.8,0.5,"7,319","7,632","7,045","5,760","5,343","6,600","8,246","8,228","7,065","6,039","5,078","4,122","3,627","3,115","2,443","1,341",783,685,8.1,8.4,7.8,6.4,5.9,7.3,9.1,9.1,7.8,6.7,5.6,4.6,4.0,3.4,2.7,1.5,0.9,0.8,"14,899","15,576","14,106","11,716","11,416","13,012","16,166","16,625","14,198","12,464","10,070","8,189","6,939","5,958","4,668","2,715","1,520","1,109",8.2,8.6,7.8,6.5,6.3,7.2,8.9,9.2,7.8,6.9,5.6,4.5,3.8,3.3,2.6,1.5,0.8,0.6,"2,809",1.89,602,5.3,"15,348","10,100","5,248",337,861,-524,"2,123",1.2,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,"63,763",35.6,2.8,48.0,5.2,6.4,-,5.5,24.3,7.7,"144,747","23,664","10,546",80.9,13.2,5.9,"69,725",39.0,160,"1,496",0.1,1.1,
Mildura Rural City Council,2021,"56,966",2.6,"28,210","28,756",39.0,41.0,40.0,"35,359",62.1,"1,674","1,842","1,959","1,694","1,710","1,913","1,959","1,688","1,582","1,647","1,796","1,745","1,877","1,515","1,430","1,000",638,541,5.9,6.5,6.9,6.0,6.1,6.8,6.9,6.0,5.6,5.8,6.4,6.2,6.7,5.4,5.1,3.5,2.3,1.9,"1,649","1,806","1,802","1,595","1,543","1,975","1,913","1,752","1,702","1,763","1,813","1,827","1,865","1,568","1,475",958,832,918,5.7,6.3,6.3,5.5,5.4,6.9,6.7,6.1,5.9,6.1,6.3,6.4,6.5,5.5,5.1,3.3,2.9,3.2,"3,323","3,648","3,761","3,289","3,253","3,888","3,872","3,440","3,284","3,410","3,609","3,572","3,742","3,083","2,905","1,958","1,470","1,459",5.8,6.4,6.6,5.8,5.7,6.8,6.8,6.0,5.8,6.0,6.3,6.3,6.6,5.4,5.1,3.4,2.6,2.6,681,1.82,531,6.2,"2,554","3,151",-597,116,297,-181,"2,621",4.6,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,"7,764",13.6,1.9,42.4,0.7,2.1,-,0.9,42.7,9.4,"48,117","4,680","4,181",84.5,8.2,7.3,"7,004",12.3,41,"1,093",0.1,2.4,
Mitchell Shire Council,2021,"49,712",17.4,"25,157","24,555",35.8,37.4,36.6,"31,960",64.3,"1,857","1,835","1,748","1,624","1,638","1,645","1,887","1,829","1,458","1,519","1,632","1,530","1,419","1,205","1,007",672,374,278,7.4,7.3,6.9,6.5,6.5,6.5,7.5,7.3,5.8,6.0,6.5,6.1,5.6,4.8,4.0,2.7,1.5,1.1,"1,723","1,727","1,612","1,398","1,297","1,716","1,928","1,749","1,519","1,607","1,607","1,542","1,416","1,153","1,021",685,395,460,7.0,7.0,6.6,5.7,5.3,7.0,7.9,7.1,6.2,6.5,6.5,6.3,5.8,4.7,4.2,2.8,1.6,1.9,"3,580","3,562","3,360","3,022","2,935","3,361","3,815","3,578","2,977","3,126","3,239","3,072","2,835","2,358","2,028","1,357",769,738,7.2,7.2,6.8,6.1,5.9,6.8,7.7,7.2,6.0,6.3,6.5,6.2,5.7,4.7,4.1,2.7,1.5,1.5,685,1.93,278,5.4,"4,760","3,491","1,269",59,113,-54,"1,073",2.2,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,"7,234",14.6,0.8,43.4,1.3,1.6,-,2.7,42.6,7.6,"43,575","3,121","2,769",88.1,6.3,5.6,"5,640",11.4,790,"1,145",2.0,2.9,
Moira Shire Council,2021,"30,367",7.5,"15,205","15,162",47.6,48.6,48.1,"17,057",56.2,766,913,933,854,695,796,758,744,745,859,948,"1,018","1,135","1,139","1,090",826,541,445,5.0,6.0,6.1,5.6,4.6,5.2,5.0,4.9,4.9,5.6,6.2,6.7,7.5,7.5,7.2,5.4,3.6,2.9,756,808,937,782,633,744,793,770,762,835,997,"1,070","1,119","1,131","1,128",751,548,598,5.0,5.3,6.2,5.2,4.2,4.9,5.2,5.1,5.0,5.5,6.6,7.1,7.4,7.5,7.4,5.0,3.6,3.9,"1,522","1,721","1,870","1,636","1,328","1,540","1,551","1,514","1,507","1,694","1,945","2,088","2,254","2,270","2,218","1,577","1,089","1,043",5.0,5.7,6.2,5.4,4.4,5.1,5.1,5.0,5.0,5.6,6.4,6.9,7.4,7.5,7.3,5.2,3.6,3.4,279,1.94,330,5.6,"2,127","2,051",76,27,49,-22,647,2.1,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,"3,012",9.9,0.9,51.1,0.3,0.7,-,0.7,37.7,8.5,"26,872","1,618","2,034",88.0,5.3,6.7,"1,601",5.2,18,862,0.1,3.4,
Monash City Council,2021,"192,893","2,367.3","96,650","96,243",36.0,39.9,38.0,"128,084",66.4,"4,527","5,511","5,660","5,843","9,135","9,152","7,167","6,839","6,064","5,864","5,728","5,214","4,476","3,855","3,536","3,025","2,492","2,562",4.7,5.7,5.9,6.0,9.5,9.5,7.4,7.1,6.3,6.1,5.9,5.4,4.6,4.0,3.7,3.1,2.6,2.7,"4,234","5,085","5,309","5,497","7,537","6,810","6,832","6,915","6,400","6,256","6,037","5,383","4,935","4,527","4,216","3,549","3,075","3,646",4.4,5.3,5.5,5.7,7.8,7.1,7.1,7.2,6.6,6.5,6.3,5.6,5.1,4.7,4.4,3.7,3.2,3.8,"8,761","10,596","10,969","11,340","16,672","15,962","13,999","13,754","12,464","12,120","11,765","10,597","9,411","8,382","7,752","6,574","5,567","6,208",4.5,5.5,5.7,5.9,8.6,8.3,7.3,7.1,6.5,6.3,6.1,5.5,4.9,4.3,4.0,3.4,2.9,3.2,"1,576",1.14,"1,441",4.5,"13,369","15,823","-2,454","1,852","6,421","-4,569",522,0.3,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,"95,826",50.3,7.2,39.3,7.5,2.7,0.4,1.4,35.8,5.7,"139,597","43,836","6,964",73.3,23.0,3.7,"98,988",52.0,145,"1,827",0.1,1.1,
Moonee Valley City Council,2021,"122,950","2,850.1","59,966","62,984",38.2,40.4,39.3,"82,222",66.9,"3,227","3,464","3,552","3,395","4,076","4,721","4,629","4,557","4,077","4,076","4,203","3,583","3,156","2,663","2,311","1,692","1,310","1,274",5.4,5.8,5.9,5.7,6.8,7.9,7.7,7.6,6.8,6.8,7.0,6.0,5.3,4.4,3.9,2.8,2.2,2.1,"3,073","3,312","3,312","3,175","3,916","4,623","5,002","4,692","4,352","4,430","4,211","3,797","3,551","3,017","2,753","2,072","1,735","1,961",4.9,5.3,5.3,5.0,6.2,7.3,7.9,7.4,6.9,7.0,6.7,6.0,5.6,4.8,4.4,3.3,2.8,3.1,"6,300","6,776","6,864","6,570","7,992","9,344","9,631","9,249","8,429","8,506","8,414","7,380","6,707","5,680","5,064","3,764","3,045","3,235",5.1,5.5,5.6,5.3,6.5,7.6,7.8,7.5,6.9,6.9,6.8,6.0,5.5,4.6,4.1,3.1,2.5,2.6,"1,311",1.35,830,4.6,"9,278","11,124","-1,846",476,"1,334",-858,571,0.5,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,"33,830",27.8,2.5,53.7,2.3,3.4,0.1,0.5,32.3,5.1,"106,097","11,497","4,257",87.1,9.4,3.5,"34,350",28.2,158,"1,345",0.2,1.3,
Moorabool Shire Council,2021,"37,910",18.0,"18,867","19,043",38.4,39.9,39.1,"23,892",63.0,"1,230","1,378","1,409","1,136","1,006","1,137","1,258","1,308","1,251","1,200","1,299","1,212","1,048",981,912,582,292,228,6.5,7.3,7.5,6.0,5.3,6.0,6.7,6.9,6.6,6.4,6.9,6.4,5.6,5.2,4.8,3.1,1.5,1.2,"1,182","1,229","1,310","1,050",943,"1,184","1,318","1,331","1,266","1,286","1,290","1,210","1,159","1,022",932,604,337,390,6.2,6.5,6.9,5.5,5.0,6.2,6.9,7.0,6.6,6.8,6.8,6.4,6.1,5.4,4.9,3.2,1.8,2.0,"2,412","2,607","2,719","2,186","1,949","2,321","2,576","2,639","2,517","2,486","2,589","2,422","2,207","2,003","1,844","1,186",629,618,6.4,6.9,7.2,5.8,5.1,6.1,6.8,7.0,6.6,6.6,6.8,6.4,5.8,5.3,4.9,3.1,1.7,1.6,485,1.78,220,5.5,"3,090","2,473",617,20,47,-27,558,1.5,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,"5,362",14.2,0.6,43.8,1.0,0.6,0.1,1.6,45.9,6.4,"33,621","2,315","1,692",89.3,6.2,4.5,"2,918",7.8,50,837,0.2,2.8,
Mornington Peninsula Shire Council,2021,"170,440",235.4,"82,781","87,659",46.7,49.3,48.1,"96,698",56.7,"4,253","4,899","5,364","5,094","4,153","3,538","3,907","4,179","4,350","5,303","5,550","5,528","5,548","5,565","5,654","4,424","2,896","2,576",5.1,5.9,6.5,6.2,5.0,4.3,4.7,5.0,5.3,6.4,6.7,6.7,6.7,6.7,6.8,5.3,3.5,3.1,"3,928","4,591","5,180","4,650","3,626","3,400","4,129","4,659","4,852","5,700","6,242","5,916","6,374","6,312","6,428","5,004","3,267","3,401",4.5,5.2,5.9,5.3,4.1,3.9,4.7,5.3,5.5,6.5,7.1,6.7,7.3,7.2,7.3,5.7,3.7,3.9,"8,181","9,490","10,544","9,744","7,779","6,938","8,036","8,838","9,202","11,003","11,792","11,444","11,922","11,877","12,082","9,428","6,163","5,977",4.8,5.6,6.2,5.7,4.6,4.1,4.7,5.2,5.4,6.5,6.9,6.7,7.0,7.0,7.1,5.5,3.6,3.5,"1,479",1.75,"1,660",4.7,"11,092","10,672",420,181,461,-280,"1,724",1.0,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,"29,793",17.6,0.7,42.2,0.2,0.2,0.2,0.3,49.1,7.2,"151,839","8,802","8,310",89.9,5.2,4.9,"9,177",5.4,"1,433","4,394",1.0,3.1,
Mount Alexander Shire Council,2021,"20,114",13.1,"10,076","10,038",49.2,52.3,50.8,"11,623",57.8,436,515,571,488,375,463,521,561,568,648,712,716,848,868,729,493,312,252,4.3,5.1,5.7,4.8,3.7,4.6,5.2,5.6,5.6,6.4,7.1,7.1,8.4,8.6,7.2,4.9,3.1,2.5,384,498,497,428,249,347,441,542,587,706,730,836,857,886,783,539,360,368,3.8,5.0,5.0,4.3,2.5,3.5,4.4,5.4,5.8,7.0,7.3,8.3,8.5,8.8,7.8,5.4,3.6,3.7,820,"1,013","1,068",916,624,810,962,"1,103","1,155","1,354","1,442","1,552","1,705","1,754","1,512","1,032",672,620,4.1,5.0,5.3,4.6,3.1,4.0,4.8,5.5,5.7,6.7,7.2,7.7,8.5,8.7,7.5,5.1,3.3,3.1,157,1.70,184,5.3,"1,499","1,236",263,17,29,-12,267,1.3,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,"2,519",12.4,1.0,27.2,0.2,0.2,0.2,0.8,58.8,11.6,"17,782",692,"1,779",87.8,3.4,8.8,660,3.3,16,494,0.1,2.8,
Moyne Shire Council,2021,"17,296",3.2,"8,558","8,738",44.4,44.6,44.5,"10,252",59.3,459,570,647,532,376,385,464,434,474,555,570,622,623,665,539,314,195,134,5.4,6.7,7.6,6.2,4.4,4.5,5.4,5.1,5.5,6.5,6.7,7.3,7.3,7.8,6.3,3.7,2.3,1.6,510,535,609,521,357,410,502,485,477,526,607,688,644,610,508,323,192,234,5.8,6.1,7.0,6.0,4.1,4.7,5.7,5.6,5.5,6.0,6.9,7.9,7.4,7.0,5.8,3.7,2.2,2.7,969,"1,105","1,256","1,053",733,795,966,919,951,"1,081","1,177","1,310","1,267","1,275","1,047",637,387,368,5.6,6.4,7.3,6.1,4.2,4.6,5.6,5.3,5.5,6.3,6.8,7.6,7.3,7.4,6.1,3.7,2.2,2.1,187,2.09,129,5.1,"1,277","1,145",132,18,30,-12,300,1.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,"1,287",7.4,0.4,49.3,0.1,0.1,0.1,0.3,41.7,8.2,"15,722",662,992,90.5,3.8,5.7,381,2.2,15,382,0.1,2.7,
Murrindindi Shire Council,2021,"15,139",3.9,"7,847","7,292",50.2,50.2,50.2,"9,063",59.9,369,386,462,415,326,319,338,381,410,499,584,624,710,657,571,447,209,140,4.7,4.9,5.9,5.3,4.2,4.1,4.3,4.9,5.2,6.4,7.4,8.0,9.0,8.4,7.3,5.7,2.7,1.8,302,332,397,361,278,293,367,390,395,514,553,617,689,581,538,309,204,172,4.1,4.6,5.4,5.0,3.8,4.0,5.0,5.3,5.4,7.0,7.6,8.5,9.4,8.0,7.4,4.2,2.8,2.4,671,718,859,776,604,612,705,771,805,"1,013","1,137","1,241","1,399","1,238","1,109",756,413,312,4.4,4.7,5.7,5.1,4.0,4.0,4.7,5.1,5.3,6.7,7.5,8.2,9.2,8.2,7.3,5.0,2.7,2.1,131,1.76,117,5.4,"1,237",994,243,13,31,-18,259,1.7,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,"1,710",11.3,0.8,37.5,0.1,0.2,-,0.6,50.1,10.7,"13,349",607,"1,240",87.8,4.0,8.2,567,3.7,15,456,0.1,3.5,
Nillumbik Shire Council,2021,"63,450",146.8,"31,458","31,992",41.4,43.2,42.3,"41,204",64.9,"1,665","1,995","2,432","2,381","2,086","1,369","1,515","1,768","1,920","2,348","2,442","2,290","2,272","1,787","1,418",945,487,338,5.3,6.3,7.7,7.6,6.6,4.4,4.8,5.6,6.1,7.5,7.8,7.3,7.2,5.7,4.5,3.0,1.5,1.1,"1,673","1,987","2,241","2,263","1,788","1,304","1,524","1,931","2,140","2,541","2,577","2,455","2,290","1,886","1,459",933,476,524,5.2,6.2,7.0,7.1,5.6,4.1,4.8,6.0,6.7,7.9,8.1,7.7,7.2,5.9,4.6,2.9,1.5,1.6,"3,338","3,982","4,673","4,644","3,874","2,673","3,039","3,699","4,060","4,889","5,019","4,745","4,562","3,673","2,877","1,878",963,862,5.3,6.3,7.4,7.3,6.1,4.2,4.8,5.8,6.4,7.7,7.9,7.5,7.2,5.8,4.5,3.0,1.5,1.4,607,1.68,299,4.5,"4,080","4,728",-648,78,200,-122,380,0.6,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,"10,281",16.3,1.0,42.6,0.6,0.8,0.1,0.4,50.1,4.4,"58,429","2,898","1,570",92.9,4.6,2.5,"6,039",9.6,85,"1,080",0.2,2.1,
Northern Grampians Shire Council,2021,"11,886",2.1,"5,996","5,890",48.2,50.0,49.1,"6,944",58.4,283,332,324,273,309,344,356,299,282,317,395,433,510,468,428,324,173,146,4.7,5.5,5.4,4.6,5.2,5.7,5.9,5.0,4.7,5.3,6.6,7.2,8.5,7.8,7.1,5.4,2.9,2.4,300,278,293,287,258,317,354,282,257,322,418,467,464,454,406,297,201,235,5.1,4.7,5.0,4.9,4.4,5.4,6.0,4.8,4.4,5.5,7.1,7.9,7.9,7.7,6.9,5.0,3.4,4.0,583,610,617,560,567,661,710,581,539,639,813,900,974,922,834,621,374,381,4.9,5.1,5.2,4.7,4.8,5.6,6.0,4.9,4.5,5.4,6.8,7.6,8.2,7.8,7.0,5.2,3.1,3.2,127,1.81,123,5.2,699,712,-13,11,18,-7,229,1.9,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,"1,098",9.2,0.5,43.3,0.4,0.4,-,0.6,44.2,10.6,"10,390",576,980,87.0,4.8,8.2,643,5.4,5,337,-,3.3,
Port Phillip City Council,2021,"103,438","5,017.8","50,739","52,699",38.2,38.1,38.1,"77,884",75.3,"2,185","1,943","1,910","1,693","2,797","5,424","6,025","5,115","3,987","3,791","3,497","3,164","2,691","2,127","1,768","1,273",746,603,4.3,3.8,3.8,3.3,5.5,10.7,11.9,10.1,7.9,7.5,6.9,6.2,5.3,4.2,3.5,2.5,1.5,1.2,"2,156","1,903","1,830","1,656","3,024","6,136","6,216","5,319","4,063","3,851","3,632","3,092","2,711","2,138","1,960","1,292",873,847,4.1,3.6,3.5,3.1,5.7,11.6,11.8,10.1,7.7,7.3,6.9,5.9,5.1,4.1,3.7,2.5,1.7,1.6,"4,341","3,846","3,740","3,349","5,821","11,560","12,241","10,434","8,050","7,642","7,129","6,256","5,402","4,265","3,728","2,565","1,619","1,450",4.2,3.7,3.6,3.2,5.6,11.2,11.8,10.1,7.8,7.4,6.9,6.0,5.2,4.1,3.6,2.5,1.6,1.4,"1,089",1.02,519,4.7,"11,523","13,935","-2,412",852,"3,359","-2,507",514,0.5,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,"33,549",32.9,1.7,31.7,2.1,1.3,3.3,0.5,51.0,8.4,"79,149","16,503","6,285",77.6,16.2,6.2,"21,461",21.1,146,"1,149",0.2,1.3,
Pyrenees Shire Council,2021,"7,619",2.2,"3,988","3,631",50.8,49.7,50.3,"4,456",58.5,152,195,217,202,161,148,187,190,215,270,319,293,348,354,340,202,110,85,3.8,4.9,5.4,5.1,4.0,3.7,4.7,4.8,5.4,6.8,8.0,7.3,8.7,8.9,8.5,5.1,2.8,2.1,172,196,208,182,146,153,168,187,180,238,294,279,296,311,264,165,95,97,4.7,5.4,5.7,5.0,4.0,4.2,4.6,5.2,5.0,6.6,8.1,7.7,8.2,8.6,7.3,4.5,2.6,2.7,324,391,425,384,307,301,355,377,395,508,613,572,644,665,604,367,205,182,4.3,5.1,5.6,5.0,4.0,4.0,4.7,4.9,5.2,6.7,8.0,7.5,8.5,8.7,7.9,4.8,2.7,2.4,54,1.89,72,5.6,632,547,85,3,4,-1,144,1.9,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,733,9.6,0.4,40.6,-,0.1,-,0.5,44.0,14.3,"6,483",265,925,84.5,3.5,12.1,167,2.2,6,244,0.1,3.7,
Queenscliffe Borough Council,2021,"3,236",375.6,"1,529","1,707",62.6,62.7,62.6,"1,471",45.5,44,52,61,79,48,30,45,57,47,62,70,106,149,203,180,131,95,70,2.9,3.4,4.0,5.2,3.1,2.0,2.9,3.7,3.1,4.1,4.6,6.9,9.7,13.3,11.8,8.6,6.2,4.6,45,54,65,49,45,35,36,59,61,82,101,142,168,208,186,153,121,97,2.6,3.2,3.8,2.9,2.6,2.1,2.1,3.5,3.6,4.8,5.9,8.3,9.8,12.2,10.9,9.0,7.1,5.7,89,106,126,128,93,65,81,116,108,144,171,248,317,411,366,284,216,167,2.8,3.3,3.9,4.0,2.9,2.0,2.5,3.6,3.3,4.4,5.3,7.7,9.8,12.7,11.3,8.8,6.7,5.2,21,-,32,-,352,282,70,4,9,-5,11,0.3,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,351,10.7,0.7,47.1,0.5,0.2,0.1,-,42.8,8.7,"2,970",103,205,90.7,3.1,6.3,113,3.4,3,110,0.1,3.7,
South Gippsland Shire Council,2021,"30,388",9.2,"15,120","15,268",48.2,49.5,48.9,"17,285",56.9,780,959,999,837,639,576,717,765,748,883,"1,003","1,121","1,190","1,220","1,122",744,463,354,5.2,6.3,6.6,5.5,4.2,3.8,4.7,5.1,4.9,5.8,6.6,7.4,7.9,8.1,7.4,4.9,3.1,2.3,706,836,925,823,523,615,771,802,800,939,"1,056","1,162","1,315","1,227","1,109",711,466,482,4.6,5.5,6.1,5.4,3.4,4.0,5.0,5.3,5.2,6.2,6.9,7.6,8.6,8.0,7.3,4.7,3.1,3.2,"1,486","1,795","1,924","1,660","1,162","1,191","1,488","1,567","1,548","1,822","2,059","2,283","2,505","2,447","2,231","1,455",929,836,4.9,5.9,6.3,5.5,3.8,3.9,4.9,5.2,5.1,6.0,6.8,7.5,8.2,8.1,7.3,4.8,3.1,2.8,257,1.80,277,5.6,"2,074","1,818",256,19,31,-12,358,1.2,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,"3,516",11.5,0.5,38.7,0.2,-,0.1,0.4,51.4,8.6,"27,507","1,220","1,854",90.0,4.0,6.1,"1,185",3.9,24,714,0.1,2.8,
Southern Grampians Shire Council,2021,"16,492",2.5,"8,112","8,380",45.3,48.2,46.8,"9,476",57.5,440,485,526,499,409,458,416,382,415,490,498,557,588,585,550,383,224,207,5.4,6.0,6.5,6.2,5.0,5.6,5.1,4.7,5.1,6.0,6.1,6.9,7.2,7.2,6.8,4.7,2.8,2.6,432,450,498,450,376,391,411,473,425,481,527,606,624,645,516,416,285,374,5.2,5.4,5.9,5.4,4.5,4.7,4.9,5.6,5.1,5.7,6.3,7.2,7.4,7.7,6.2,5.0,3.4,4.5,872,935,"1,024",949,785,849,827,855,840,971,"1,025","1,163","1,212","1,230","1,066",799,509,581,5.3,5.7,6.2,5.8,4.8,5.1,5.0,5.2,5.1,5.9,6.2,7.1,7.3,7.5,6.5,4.8,3.1,3.5,178,2.04,209,6.0,867,917,-50,15,25,-10,389,2.3,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,"1,276",7.7,0.4,50.6,0.3,0.2,-,0.2,40.1,8.1,"15,125",586,874,91.2,3.5,5.3,501,3.0,14,360,0.1,2.6,
